instrument_name,mode_category,beat_category,gukak_style,music_src_nm,split_data
대금,계면조계열,불균등,민속악,AP_F06_04629,train
해금,평조계열,혼합 및 기타,민속악,AP_F06_04726,train
대금,계면조계열,불균등,민속악,AP_F06_04628,train
장구,,혼합 및 기타,민속악,AP_F07_06413,train
거문고,계면조계열,균등,민속악,AP_F02_00856,train
태평소,계면조계열,균등,민속악,AP_F02_05390,train
해금,계면조계열,균등,민속악,AP_F06_04588,train
장구,,균등,민속악,AP_F07_06784,train
피리,평조계열,균등,민속악,AP_F01_06061,train
대금,평조계열,균등,민속악,AP_F02_07192,train
대금,평조계열,균등,민속악,AP_F01_00228,train
대금,계면조계열,균등,민속악,AP_F06_04666,train
피리,계면조계열,균등,민속악,AP_F06_00406,train
장구,,균등,민속악,AP_F07_06352,train
대금,계면조계열,균등,민속악,AP_F02_07253,train
피리,평조계열,균등,민속악,AP_F01_04823,train
해금,평조계열,균등,민속악,AP_F01_00611,train
장구,,균등,민속악,AP_F07_06579,train
가야금,계면조계열,균등,민속악,AP_F02_00286,train
대금,계면조계열,균등,민속악,AP_F06_04577,train
피리,평조계열,균등,민속악,AP_F01_04796,train
가야금,계면조계열,균등,민속악,AP_F06_08115,train
대금,계면조계열,균등,민속악,AP_F06_04649,train
해금,계면조계열,균등,민속악,AP_F01_00233,train
장구,,균등,민속악,AP_F05_00356,train
태평소,평조계열,균등,민속악,AP_F02_00637,train
대금,계면조계열,균등,민속악,AP_F02_07178,train
대금,평조계열,균등,민속악,AP_F06_00459,train
장구,,혼합 및 기타,민속악,AP_F07_06497,train
가야금,계면조계열,균등,민속악,AP_F02_04224,train
아쟁,계면조계열,균등,민속악,AM_F01_05188,train
해금,계면조계열,균등,민속악,AP_F06_04584,train
장구,,불균등,민속악,AP_F02_07504,train
해금,평조계열,균등,민속악,AP_F01_00614,train
아쟁,계면조계열,균등,민속악,AP_F02_00997,train
가야금,계면조계열,균등,민속악,AP_F02_04219,train
피리,계면조계열,균등,민속악,AP_F01_04829,train
아쟁,계면조계열,균등,민속악,AP_F06_06826,train
장구,,혼합 및 기타,민속악,AP_F07_06411,train
피리,계면조계열,균등,민속악,AP_F06_06842,train
거문고,계면조계열,균등,민속악,AP_F02_00981,train
아쟁,계면조계열,균등,민속악,AP_F06_00387,train
장구,,혼합 및 기타,민속악,AP_F07_06648,train
피리,계면조계열,균등,민속악,AP_F01_04780,train
피리,평조계열,균등,민속악,AP_F01_06062,train
피리,평조계열,균등,민속악,AP_F06_00403,train
거문고,계면조계열,균등,민속악,AP_F02_00298,train
대금,평조계열,균등,민속악,AP_F06_00461,train
거문고,계면조계열,균등,민속악,AP_F02_00961,train
아쟁,평조계열,균등,민속악,AP_F06_06863,train
가야금,계면조계열,균등,민속악,AP_F02_04143,train
대금,계면조계열,균등,민속악,AP_F02_07283,train
가야금,계면조계열,균등,민속악,AP_F06_08160,train
피리,계면조계열,균등,민속악,AM_F01_05205,train
아쟁,계면조계열,균등,민속악,AP_F01_05211,train
해금,계면조계열,균등,민속악,AP_F02_00305,train
장구,,균등,민속악,AP_F02_07521,train
피리,계면조계열,균등,민속악,AP_F01_04784,train
가야금,계면조계열,균등,민속악,AP_F02_04184,train
해금,계면조계열,균등,민속악,AP_F02_00827,train
아쟁,계면조계열,균등,민속악,AP_F01_05204,train
해금,평조계열,균등,민속악,AP_F06_04698,train
가야금,계면조계열,균등,민속악,AP_F02_00573,train
가야금,평조계열,균등,민속악,AP_F06_08119,train
거문고,계면조계열,균등,민속악,AP_F02_00301,train
가야금,계면조계열,균등,민속악,AP_F02_00285,train
피리,계면조계열,균등,민속악,AP_F06_04675,train
피리,계면조계열,균등,민속악,AP_F06_04686,train
해금,평조계열,균등,민속악,AP_F01_00616,train
피리,평조계열,균등,민속악,AP_F02_00325,train
아쟁,계면조계열,균등,민속악,AP_F02_00270,train
장구,,균등,민속악,AP_F07_06728,train
대금,평조계열,균등,민속악,AP_F01_00252,train
피리,평조계열,균등,민속악,AP_F01_05172,train
가야금,계면조계열,균등,민속악,AP_F02_00572,train
아쟁,평조계열,균등,민속악,AP_F06_06805,train
대금,평조계열,균등,민속악,AP_F01_00246,train
장구,,균등,민속악,AP_F07_06255,train
장구,,균등,민속악,AP_F07_06538,train
장구,,혼합 및 기타,민속악,AP_F07_06492,train
장구,,균등,민속악,AP_F07_06580,train
거문고,계면조계열,균등,민속악,AP_F02_00982,train
대금,계면조계열,균등,민속악,AP_F02_07298,train
장구,,균등,민속악,AP_F07_06615,train
대금,평조계열,균등,민속악,AP_F06_04695,train
단소,평조계열,균등,민속악,AP_F06_00401,train
장구,,혼합 및 기타,민속악,AP_F05_08627,train
해금,계면조계열,균등,민속악,AP_F06_00436,train
장구,,균등,민속악,AP_F02_07401,train
장구,,균등,민속악,AP_F07_06444,train
가야금,계면조계열,균등,민속악,AP_F02_04108,train
대금,계면조계열,균등,민속악,AP_F01_00248,train
대금,계면조계열,균등,민속악,AP_F06_00399,train
가야금,계면조계열,균등,민속악,AP_F02_00566,train
장구,,균등,민속악,AP_F07_06780,train
해금,평조계열,균등,민속악,AP_F06_06871,train
대금,계면조계열,균등,민속악,AP_F02_01009,train
대금,평조계열,균등,민속악,AP_F06_00462,train
해금,평조계열,균등,민속악,AP_F06_04696,train
피리,평조계열,균등,민속악,AM_F01_04830,train
가야금,계면조계열,균등,민속악,AP_F02_04232,train
장구,,균등,민속악,AP_F07_06607,train
피리,계면조계열,균등,민속악,AP_F06_00452,train
가야금,평조계열,균등,민속악,AP_F06_00418,train
피리,평조계열,균등,민속악,AP_F01_06083,train
대금,계면조계열,균등,민속악,AP_F02_07172,train
가야금,평조계열,균등,민속악,AP_F02_04131,train
피리,계면조계열,균등,민속악,AP_F01_05222,train
아쟁,평조계열,균등,민속악,AP_F01_05963,train
가야금,평조계열,균등,민속악,AM_F02_05958,train
아쟁,계면조계열,균등,민속악,AP_F02_00995,train
피리,계면조계열,균등,민속악,AP_F06_00448,train
피리,평조계열,균등,민속악,AP_F01_04793,train
단소,평조계열,균등,민속악,AP_F02_01026,train
가야금,계면조계열,균등,민속악,AP_F02_04257,train
해금,계면조계열,균등,민속악,AP_F06_00376,train
가야금,계면조계열,균등,민속악,AP_F06_08157,train
태평소,계면조계열,균등,민속악,AP_F02_05398,train
피리,계면조계열,균등,민속악,AP_F01_04827,train
가야금,계면조계열,균등,민속악,AP_F06_06833,train
해금,계면조계열,균등,민속악,AP_F01_00608,train
아쟁,계면조계열,균등,민속악,AP_F01_05200,train
장구,,균등,민속악,AP_F02_07407,train
거문고,계면조계열,균등,민속악,AP_F02_00295,train
가야금,계면조계열,균등,민속악,AP_F06_08138,train
대금,계면조계열,균등,민속악,AP_F02_07266,train
아쟁,계면조계열,균등,민속악,AP_F06_08143,train
아쟁,평조계열,균등,민속악,AP_F06_06806,train
태평소,계면조계열,균등,민속악,AP_F02_05417,train
태평소,계면조계열,균등,민속악,AP_F02_05413,train
장구,,균등,민속악,AP_F07_06354,train
태평소,계면조계열,균등,민속악,AP_F02_05418,train
해금,평조계열,균등,민속악,AP_F01_00600,train
장구,,균등,민속악,AP_F07_06456,train
아쟁,평조계열,균등,민속악,AP_F01_05973,train
아쟁,계면조계열,균등,민속악,AP_F06_06879,train
태평소,계면조계열,균등,민속악,AP_F02_05156,train
피리,계면조계열,균등,민속악,AP_F01_05233,train
장구,,균등,민속악,AP_F07_06537,train
대금,계면조계열,균등,민속악,AP_F02_07210,train
피리,평조계열,균등,민속악,AP_F01_05187,train
아쟁,계면조계열,균등,민속악,AP_F06_06828,train
장구,,균등,민속악,AP_F07_06772,train
장구,,균등,민속악,AP_F02_07536,train
가야금,계면조계열,균등,민속악,AP_F02_04236,train
가야금,계면조계열,균등,민속악,AP_F06_06835,train
태평소,평조계열,균등,민속악,AP_F06_00455,train
아쟁,평조계열,균등,민속악,AP_F01_05969,train
장구,,균등,민속악,AP_F02_07477,train
장구,,혼합 및 기타,민속악,AP_F07_06460,train
대금,계면조계열,균등,민속악,AP_F06_04580,train
대금,계면조계열,균등,민속악,AP_F02_07265,train
장구,,균등,민속악,AP_F02_07402,train
가야금,평조계열,균등,민속악,AP_F02_00561,train
피리,계면조계열,혼합 및 기타,민속악,AP_F06_02111,train
장구,,혼합 및 기타,민속악,AP_F07_06646,train
대금,계면조계열,균등,민속악,AP_F02_07246,train
태평소,계면조계열,균등,민속악,AP_F02_05402,train
가야금,계면조계열,균등,민속악,AP_F02_04197,train
가야금,평조계열,균등,민속악,AP_F06_06814,train
대금,계면조계열,균등,민속악,AP_F02_00329,train
장구,,균등,민속악,AP_F07_06362,train
가야금,계면조계열,균등,민속악,AP_F06_00427,train
가야금,계면조계열,불균등,민속악,AP_F02_00290,train
피리,평조계열,균등,민속악,AP_F01_05257,train
가야금,평조계열,균등,민속악,AP_F06_08118,train
장구,,균등,민속악,AP_F07_06575,train
장구,,균등,민속악,AP_F07_06775,train
장구,,균등,민속악,AP_F07_06348,train
해금,계면조계열,균등,민속악,AP_F06_00380,train
장구,,균등,민속악,AP_F07_06361,train
장구,,균등,민속악,AP_F02_07518,train
피리,평조계열,균등,민속악,AP_F01_06077,train
장구,,혼합 및 기타,민속악,AP_F07_06501,train
해금,계면조계열,균등,민속악,AP_F02_00826,train
가야금,계면조계열,균등,민속악,AP_F06_08169,train
장구,,혼합 및 기타,민속악,AP_F07_06746,train
피리,계면조계열,균등,민속악,AP_F02_00274,train
장구,,혼합 및 기타,민속악,AP_F07_06647,train
장구,,균등,민속악,AP_F05_07939,train
피리,평조계열,균등,민속악,AP_F01_06069,train
가야금,평조계열,균등,민속악,AP_F06_02093,train
피리,평조계열,균등,민속악,AM_F01_06065,train
장구,,균등,민속악,AP_F07_06304,train
아쟁,계면조계열,균등,민속악,AP_F02_00316,train
해금,계면조계열,균등,민속악,AP_F06_00433,train
장구,,혼합 및 기타,민속악,AP_F07_06669,train
피리,계면조계열,균등,민속악,AP_F06_04659,train
장구,,혼합 및 기타,민속악,AP_F07_06478,train
태평소,계면조계열,균등,민속악,AP_F02_05422,train
대금,계면조계열,균등,민속악,AP_F02_07168,train
아쟁,계면조계열,균등,민속악,AP_F06_00440,train
피리,평조계열,균등,민속악,AP_F01_04801,train
해금,평조계열,균등,민속악,AP_F02_00303,train
가야금,계면조계열,균등,민속악,AP_F02_04153,train
태평소,평조계열,균등,민속악,AP_F02_05152,train
해금,평조계열,균등,민속악,AP_F01_00223,train
해금,평조계열,균등,민속악,AP_F06_04614,train
피리,평조계열,균등,민속악,AP_F01_04836,train
태평소,평조계열,균등,민속악,AP_F02_05153,train
장구,,균등,민속악,AP_F07_06671,train
피리,평조계열,균등,민속악,AP_F01_06084,train
아쟁,계면조계열,균등,민속악,AP_F01_05227,train
해금,계면조계열,불균등,민속악,AP_F06_04633,train
장구,,균등,민속악,AP_F07_06539,train
가야금,계면조계열,균등,민속악,AP_F06_00425,train
가야금,계면조계열,균등,민속악,AP_F02_00570,train
가야금,계면조계열,균등,민속악,AP_F02_04193,train
해금,계면조계열,균등,민속악,AP_F06_04591,train
아쟁,계면조계열,균등,민속악,AP_F02_00318,train
대금,평조계열,균등,민속악,AP_F06_04746,train
피리,계면조계열,균등,민속악,AP_F01_05206,train
대금,평조계열,균등,민속악,AP_F02_07220,train
피리,평조계열,균등,민속악,AP_F06_00405,train
태평소,계면조계열,균등,민속악,AP_F02_05394,train
해금,계면조계열,균등,민속악,AP_F02_00311,train
가야금,평조계열,균등,민속악,AP_F06_08150,train
피리,평조계열,균등,민속악,AP_F01_05259,train
거문고,계면조계열,균등,민속악,AP_F02_00850,train
가야금,계면조계열,균등,민속악,AM_F02_05950,train
가야금,계면조계열,균등,민속악,AP_F02_04111,train
해금,평조계열,균등,민속악,AM_F06_02099,train
대금,계면조계열,균등,민속악,AP_F02_07274,train
장구,,혼합 및 기타,민속악,AP_F07_06676,train
대금,평조계열,균등,민속악,AP_F02_00328,train
거문고,계면조계열,균등,민속악,AP_F02_00860,train
해금,평조계열,균등,민속악,AP_F01_00225,train
가야금,계면조계열,균등,민속악,AP_F06_00360,train
대금,계면조계열,균등,민속악,AP_F02_07234,train
해금,계면조계열,균등,민속악,AP_F06_04651,train
해금,계면조계열,불균등,민속악,AP_F06_04635,train
거문고,계면조계열,균등,민속악,AP_F02_00977,train
아쟁,계면조계열,균등,민속악,AP_F01_05201,train
대금,계면조계열,균등,민속악,AP_F06_06851,train
대금,평조계열,균등,민속악,AP_F06_00468,train
대금,계면조계열,혼합 및 기타,민속악,AP_F06_04722,train
장구,,혼합 및 기타,민속악,AP_F07_06644,train
대금,평조계열,균등,민속악,AP_F02_00334,train
대금,평조계열,균등,민속악,AP_F02_00335,train
가야금,계면조계열,균등,민속악,AP_F06_00365,train
가야금,평조계열,균등,민속악,AP_F06_02113,train
피리,평조계열,균등,민속악,AP_F01_06047,train
단소,계면조계열,혼합 및 기타,민속악,AP_F06_02107,train
해금,평조계열,혼합 및 기타,민속악,AP_F06_04729,train
해금,계면조계열,균등,민속악,AP_F06_04684,train
해금,평조계열,균등,민속악,AP_F06_04751,train
거문고,계면조계열,균등,민속악,AP_F02_00293,train
해금,평조계열,균등,민속악,AP_F02_00265,train
대금,계면조계열,균등,민속악,AP_F06_06881,train
가야금,평조계열,균등,민속악,AP_F06_06815,train
장구,,균등,민속악,AP_F02_07445,train
가야금,평조계열,균등,민속악,AP_F02_04110,train
해금,계면조계열,균등,민속악,AP_F01_00602,train
해금,계면조계열,균등,민속악,AP_F02_00266,train
가야금,평조계열,균등,민속악,AP_F06_06868,train
가야금,계면조계열,균등,민속악,AP_F02_04116,train
해금,계면조계열,균등,민속악,AP_F02_00820,train
태평소,계면조계열,균등,민속악,AP_F02_05160,train
단소,계면조계열,균등,민속악,AP_F02_01027,train
장구,,혼합 및 기타,민속악,AP_F05_08628,train
해금,평조계열,균등,민속악,AP_F06_00429,train
장구,,균등,민속악,AP_F07_06345,train
장구,,혼합 및 기타,민속악,AP_F07_06708,train
대금,평조계열,균등,민속악,AP_F01_00250,train
피리,평조계열,균등,민속악,AP_F01_05261,train
피리,평조계열,균등,민속악,AP_F06_00402,train
태평소,평조계열,균등,민속악,AP_F02_05151,train
가야금,계면조계열,균등,민속악,AP_F02_04158,train
장구,,균등,민속악,AP_F02_07481,train
대금,계면조계열,균등,민속악,AP_F02_00339,train
장구,,균등,민속악,AP_F07_06540,train
해금,계면조계열,균등,민속악,AP_F06_06839,train
피리,평조계열,균등,민속악,AP_F06_06873,train
장구,,혼합 및 기타,민속악,AP_F07_06651,train
아쟁,계면조계열,균등,민속악,AP_F06_06877,train
가야금,평조계열,균등,민속악,AP_F06_08103,train
장구,,혼합 및 기타,민속악,AP_F07_06714,train
장구,,균등,민속악,AP_F07_06310,train
장구,,균등,민속악,AP_F07_06722,train
아쟁,계면조계열,균등,민속악,AM_F03_07556,train
피리,계면조계열,균등,민속악,AP_F06_04595,train
장구,,균등,민속악,AP_F07_06410,train
대금,계면조계열,균등,민속악,AP_F06_04665,train
해금,평조계열,균등,민속악,AP_F06_06817,train
장구,,균등,민속악,AP_F07_06725,train
아쟁,계면조계열,균등,민속악,AP_F06_08142,train
가야금,계면조계열,균등,민속악,AP_F06_00426,train
해금,평조계열,균등,민속악,AP_F02_00833,train
대금,계면조계열,균등,민속악,AP_F06_04648,train
가야금,계면조계열,균등,민속악,AP_F06_08156,train
장구,,혼합 및 기타,민속악,AP_F07_06470,train
대금,계면조계열,균등,민속악,AP_F06_04650,train
아쟁,계면조계열,균등,민속악,AP_F02_01002,train
피리,계면조계열,균등,민속악,AP_F01_04825,train
해금,계면조계열,균등,민속악,AP_F02_00310,train
장구,,균등,민속악,AP_F07_06683,train
장구,,균등,민속악,AP_F02_07403,train
가야금,계면조계열,균등,민속악,AP_F06_08139,train
장구,,혼합 및 기타,민속악,AP_F07_06673,train
가야금,계면조계열,균등,민속악,AP_F02_04244,train
아쟁,평조계열,균등,민속악,AP_F01_05967,train
아쟁,평조계열,균등,민속악,AP_F01_05966,train
피리,평조계열,균등,민속악,AP_F01_05242,train
장구,,균등,민속악,AP_F07_06678,train
아쟁,평조계열,균등,민속악,AP_F01_05253,train
장구,,균등,민속악,AP_F07_06675,train
가야금,계면조계열,균등,민속악,AP_F02_04157,train
해금,계면조계열,균등,민속악,AP_F06_04653,train
장구,,혼합 및 기타,민속악,AP_F07_06292,train
거문고,계면조계열,불균등,민속악,AP_F02_00262,train
장구,,균등,민속악,AP_F07_06783,train
가야금,계면조계열,균등,민속악,AP_F02_04181,train
해금,평조계열,균등,민속악,AP_F01_00238,train
가야금,평조계열,균등,민속악,AP_F06_08162,train
아쟁,평조계열,균등,민속악,AP_F01_05246,train
가야금,계면조계열,균등,민속악,AP_F02_00288,train
장구,,균등,민속악,AP_F07_06543,train
가야금,계면조계열,균등,민속악,AP_F02_04249,train
피리,계면조계열,균등,민속악,AP_F01_04786,train
가야금,계면조계열,균등,민속악,AP_F02_04126,train
해금,평조계열,균등,민속악,AP_F06_06818,train
대금,계면조계열,균등,민속악,AP_F02_01014,train
아쟁,계면조계열,균등,민속악,AP_F02_01001,train
피리,계면조계열,균등,민속악,AP_F01_05235,train
피리,평조계열,균등,민속악,AP_F01_06067,train
장구,,혼합 및 기타,민속악,AP_F07_06664,train
장구,,혼합 및 기타,민속악,AP_F07_06712,train
장구,,혼합 및 기타,민속악,AP_F05_08631,train
장구,,혼합 및 기타,민속악,AP_F07_06652,train
태평소,계면조계열,균등,민속악,AP_F02_05396,train
해금,계면조계열,균등,민속악,AP_F02_00307,train
피리,평조계열,균등,민속악,AP_F06_02119,train
가야금,계면조계열,균등,민속악,AP_F06_08101,train
해금,계면조계열,균등,민속악,AP_F02_00267,train
피리,계면조계열,균등,민속악,AP_F01_00231,train
가야금,평조계열,균등,민속악,AP_F06_08108,train
가야금,평조계열,균등,민속악,AP_F02_00562,train
가야금,계면조계열,균등,민속악,AP_F06_00421,train
가야금,평조계열,균등,민속악,AP_F06_06812,train
태평소,계면조계열,균등,민속악,AP_F02_05406,train
피리,평조계열,균등,민속악,AP_F01_04800,train
거문고,계면조계열,균등,민속악,AP_F02_00858,train
가야금,계면조계열,균등,민속악,AP_F02_04255,train
가야금,계면조계열,균등,민속악,AP_F06_08170,train
피리,평조계열,균등,민속악,AP_F01_05263,train
장구,,혼합 및 기타,민속악,AP_F07_06503,train
장구,,혼합 및 기타,민속악,AP_F07_06499,train
피리,평조계열,균등,민속악,AP_F01_04798,train
피리,평조계열,균등,민속악,AP_F01_06088,train
장구,,균등,민속악,AP_F07_06726,train
대금,계면조계열,균등,민속악,AP_F02_00330,train
해금,평조계열,균등,민속악,AP_F01_00610,train
가야금,계면조계열,균등,민속악,AP_F02_04151,train
장구,,균등,민속악,AP_F07_06541,train
해금,계면조계열,불균등,민속악,AP_F06_04632,train
거문고,계면조계열,균등,민속악,AP_F02_00962,train
가야금,계면조계열,균등,민속악,AP_F02_04247,train
장구,,균등,민속악,AP_F07_06546,train
가야금,계면조계열,균등,민속악,AP_F06_08123,train
소금,평조계열,균등,민속악,AM_F06_02112,train
해금,평조계열,균등,민속악,AP_F06_00430,train
해금,계면조계열,균등,민속악,AP_F06_00378,train
가야금,평조계열,균등,민속악,AP_F02_05957,train
가야금,계면조계열,균등,민속악,AP_F02_04159,train
가야금,계면조계열,균등,민속악,AP_F02_04139,train
거문고,계면조계열,불균등,민속악,AP_F02_00297,train
대금,계면조계열,균등,민속악,AP_F02_07255,train
피리,평조계열,균등,민속악,AP_F01_06060,train
장구,,혼합 및 기타,민속악,AP_F07_06472,train
거문고,계면조계열,균등,민속악,AP_F02_00299,train
장구,,균등,민속악,AP_F07_06265,train
피리,계면조계열,균등,민속악,AP_F01_04815,train
피리,계면조계열,균등,민속악,AP_F01_05217,train
거문고,계면조계열,균등,민속악,AP_F02_00965,train
장구,,균등,민속악,AP_F07_06684,train
대금,계면조계열,균등,민속악,AP_F06_00467,train
태평소,평조계열,균등,민속악,AP_F06_00453,train
아쟁,계면조계열,균등,민속악,AP_F03_07561,train
거문고,계면조계열,균등,민속악,AP_F02_00967,train
해금,평조계열,균등,민속악,AP_F06_06872,train
가야금,계면조계열,균등,민속악,AP_F02_04242,train
대금,계면조계열,균등,민속악,AP_F02_07275,train
가야금,계면조계열,균등,민속악,AP_F02_04150,train
장구,,균등,민속악,AP_F07_06338,train
장구,,혼합 및 기타,민속악,AP_F07_06412,train
가야금,평조계열,균등,민속악,AP_F06_00419,train
가야금,계면조계열,균등,민속악,AP_F02_00289,train
가야금,평조계열,균등,민속악,AP_F02_05956,train
가야금,평조계열,균등,민속악,AP_F06_02104,train
가야금,계면조계열,균등,민속악,AP_F02_04133,train
장구,,균등,민속악,AP_F02_07404,train
대금,평조계열,균등,민속악,AP_F06_00391,train
피리,평조계열,균등,민속악,AP_F06_00445,train
장구,,혼합 및 기타,민속악,AP_F07_06504,train
장구,,혼합 및 기타,민속악,AP_F07_06280,train
아쟁,계면조계열,균등,민속악,AP_F01_05226,train
대금,계면조계열,균등,민속악,AP_F01_00247,train
피리,평조계열,균등,민속악,AP_F02_00322,train
장구,,균등,민속악,AP_F02_07485,train
대금,평조계열,균등,민속악,AP_F06_06865,train
대금,계면조계열,균등,민속악,AP_F02_07223,train
피리,계면조계열,균등,민속악,AP_F01_04776,train
가야금,계면조계열,균등,민속악,AP_F02_04239,train
대금,계면조계열,균등,민속악,AP_F02_07249,train
장구,,균등,민속악,AP_F07_06353,train
대금,계면조계열,균등,민속악,AP_F06_00395,train
피리,계면조계열,균등,민속악,AP_F06_04596,train
가야금,평조계열,균등,민속악,AP_F02_04138,train
아쟁,평조계열,균등,민속악,AP_F01_05168,train
장구,,균등,민속악,AP_F07_06747,train
아쟁,계면조계열,균등,민속악,AP_F06_06847,train
가야금,계면조계열,균등,민속악,AP_F02_04253,train
가야금,계면조계열,균등,민속악,AP_F06_08171,train
장구,,균등,민속악,AP_F07_06314,train
피리,평조계열,균등,민속악,AP_F02_00276,train
장구,,혼합 및 기타,민속악,AP_F07_06642,train
가야금,평조계열,균등,민속악,AP_F02_04174,train
해금,계면조계열,균등,민속악,AP_F01_00607,train
장구,,혼합 및 기타,민속악,AP_F05_08626,train
장구,,균등,민속악,AP_F07_06339,train
대금,계면조계열,균등,민속악,AP_F06_04668,train
가야금,계면조계열,균등,민속악,AP_F02_00283,train
해금,계면조계열,균등,민속악,AP_F06_06892,train
태평소,평조계열,균등,민속악,AP_F02_05150,train
피리,계면조계열,균등,민속악,AP_F06_04713,train
장구,,혼합 및 기타,민속악,AP_F07_06479,train
피리,평조계열,균등,민속악,AP_F01_06078,train
태평소,평조계열,균등,민속악,AP_F06_00458,train
장구,,혼합 및 기타,민속악,AP_F07_06252,train
거문고,계면조계열,균등,민속악,AP_F02_00979,train
장구,,균등,민속악,AP_F07_06421,train
아쟁,계면조계열,균등,민속악,AP_F06_06878,train
대금,계면조계열,균등,민속악,AP_F06_04581,train
거문고,계면조계열,균등,민속악,AP_F02_00970,train
거문고,계면조계열,균등,민속악,AP_F02_00851,train
가야금,계면조계열,균등,민속악,AP_F02_04240,train
단소,계면조계열,혼합 및 기타,민속악,AM_F06_02106,train
피리,평조계열,균등,민속악,AP_F01_05185,train
해금,계면조계열,균등,민속악,AP_F02_00830,train
가야금,평조계열,균등,민속악,AP_F06_00357,train
피리,계면조계열,균등,민속악,AP_F01_05208,train
대금,계면조계열,균등,민속악,AP_F02_07252,train
해금,평조계열,혼합 및 기타,민속악,AP_F06_04727,train
장구,,균등,민속악,AP_F07_06611,train
아쟁,계면조계열,균등,민속악,AP_F02_01000,train
가야금,계면조계열,균등,민속악,AP_F02_04228,train
가야금,계면조계열,균등,민속악,AP_F02_04226,train
피리,평조계열,균등,민속악,AP_F01_06052,train
피리,평조계열,균등,민속악,AM_F01_05247,train
해금,계면조계열,균등,민속악,AP_F01_00236,train
가야금,계면조계열,균등,민속악,AP_F02_04258,train
대금,계면조계열,균등,민속악,AP_F02_07213,train
대금,계면조계열,균등,민속악,AP_F02_07286,train
거문고,계면조계열,불균등,민속악,AP_F02_00848,train
가야금,계면조계열,균등,민속악,AP_F02_05959,train
해금,계면조계열,균등,민속악,AP_F06_04583,train
피리,평조계열,균등,민속악,AP_F01_06037,train
장구,,균등,민속악,AP_F07_06528,train
장구,,혼합 및 기타,민속악,AP_F07_06286,train
대금,평조계열,균등,민속악,AP_F06_06864,train
장구,,균등,민속악,AP_F07_06451,train
피리,계면조계열,균등,민속악,AP_F06_04594,train
해금,계면조계열,균등,민속악,AP_F01_00609,train
해금,평조계열,균등,민속악,AP_F06_02096,train
장구,,균등,민속악,AP_F07_06619,train
가야금,계면조계열,균등,민속악,AP_F02_04130,train
장구,,균등,민속악,AP_F07_06582,train
피리,계면조계열,균등,민속악,AP_F06_04593,train
장구,,균등,민속악,AP_F07_06341,train
태평소,계면조계열,균등,민속악,AP_F02_05410,train
가야금,계면조계열,균등,민속악,AP_F06_06852,train
장구,,균등,민속악,AP_F07_06729,train
장구,,균등,민속악,AP_F07_06573,train
장구,,혼합 및 기타,민속악,AP_F07_06682,train
장구,,불균등,민속악,AP_F05_07916,train
장구,,균등,민속악,AP_F07_06336,train
가야금,계면조계열,균등,민속악,AP_F02_04227,train
태평소,평조계열,균등,민속악,AP_F02_00636,train
태평소,계면조계열,균등,민속악,AP_F02_05395,train
가야금,계면조계열,균등,민속악,AP_F02_04194,train
피리,평조계열,균등,민속악,AP_F01_06056,train
해금,계면조계열,균등,민속악,AP_F06_04670,train
해금,평조계열,균등,민속악,AP_F06_02116,train
아쟁,계면조계열,균등,민속악,AP_F06_06848,train
해금,평조계열,균등,민속악,AP_F02_00302,train
아쟁,계면조계열,균등,민속악,AP_F02_00999,train
아쟁,평조계열,균등,민속악,AP_F01_05179,train
대금,계면조계열,균등,민속악,AP_F06_04576,train
가야금,계면조계열,균등,민속악,AP_F06_08127,train
가야금,계면조계열,균등,민속악,AP_F06_08155,train
장구,,균등,민속악,AP_F07_06744,train
가야금,계면조계열,균등,민속악,AP_F02_04119,train
피리,계면조계열,균등,민속악,AP_F01_00229,train
장구,,균등,민속악,AP_F07_06608,train
해금,계면조계열,균등,민속악,AP_F06_06890,train
장구,,혼합 및 기타,민속악,AP_F07_06505,train
장구,,불균등,민속악,AP_F05_07915,train
대금,계면조계열,균등,민속악,AP_F06_00465,train
해금,계면조계열,균등,민속악,AP_F02_00269,train
장구,,균등,민속악,AP_F02_07443,train
가야금,계면조계열,균등,민속악,AP_F02_04105,train
장구,,혼합 및 기타,민속악,AP_F05_08630,train
가야금,계면조계열,불균등,민속악,AP_F02_04209,train
가야금,계면조계열,균등,민속악,AP_F06_08132,train
피리,평조계열,균등,민속악,AP_F01_06038,train
태평소,평조계열,균등,민속악,AP_F02_00638,train
장구,,혼합 및 기타,민속악,AP_F05_07901,train
가야금,계면조계열,균등,민속악,AP_F02_04104,train
피리,평조계열,균등,민속악,AP_F01_06059,train
가야금,계면조계열,균등,민속악,AP_F02_04170,train
해금,계면조계열,균등,민속악,AP_F06_06840,train
단소,평조계열,균등,민속악,AP_F06_02100,train
피리,평조계열,균등,민속악,AP_F06_00447,train
아쟁,계면조계열,균등,민속악,AP_F02_00272,train
피리,평조계열,균등,민속악,AP_F01_05262,train
피리,평조계열,균등,민속악,AP_F01_05256,train
장구,,균등,민속악,AP_F02_07405,train
대금,계면조계열,균등,민속악,AP_F02_07186,train
해금,평조계열,균등,민속악,AP_F02_00835,train
아쟁,평조계열,균등,민속악,AP_F01_05251,train
가야금,계면조계열,균등,민속악,AP_F02_04198,train
대금,계면조계열,균등,민속악,AP_F02_07179,train
아쟁,평조계열,균등,민속악,AP_F01_05237,train
장구,,균등,민속악,AP_F07_06685,train
